Query 08
확인 목적: 주문이 없는 고객까지 LEFT JOIN으로 포함해 주문 수를 확인한다.

실행 SQL:
SELECT c.customer_id, c.name, COUNT(o.order_id) AS order_count
FROM customers AS c
LEFT JOIN orders AS o
    ON c.customer_id = o.customer_id
GROUP BY c.customer_id, c.name
ORDER BY order_count ASC, c.customer_id ASC;

실행 결과:
customer_id | name | order_count
------------+------+------------
11          | 서민아  | 0          
3           | 박지훈  | 1          
4           | 최하은  | 1          
5           | 정도윤  | 1          
6           | 한지아  | 1          
7           | 오현우  | 1          
8           | 윤서준  | 1          
9           | 강다은  | 1          
10          | 장유진  | 1          
1           | 김민준  | 2          
2           | 이서연  | 2          
